file,error_type,region,selection_rank,patch_id,row,column,precision,recall,f1,iou,false_positive,false_negative,change_prevalence,predicted_change_fraction,visual_failure_mode,likely_cause,review_notes
false_positive_norcia_01_norcia_r06_y00000_x00256_h256_w256.png,false_positive,norcia,1,norcia_r06_y00000_x00256_h256_w256,0,256,0.023045507584597433,0.61003861003861,0.044413211524947295,0.022710938622969672,6698,101,0.008330920904499984,0.22052816108591464,,,
false_positive_norcia_02_norcia_r06_y00000_x00000_h256_w256.png,false_positive,norcia,2,norcia_r06_y00000_x00000_h256_w256,0,0,0.15305206463195692,0.3522727272727273,0.21339173967459324,0.11943957968476357,1887,627,0.015689834024896265,0.036112551867219914,,,
false_positive_saclay_w_01_saclay_w_r08_y00512_x00512_h256_w256.png,false_positive,saclay_w,1,saclay_w_r08_y00512_x00512_h256_w256,512,512,0.05900243309002433,1.0,0.11143021252153934,0.05900243309002433,7735,0,0.0216982820329277,0.3677523264137437,,,
false_positive_saclay_w_02_saclay_w_r08_y00512_x00256_h256_w256.png,false_positive,saclay_w,2,saclay_w_r08_y00512_x00256_h256_w256,512,256,0.006600176004693458,1.0,0.013113798630336588,0.006600176004693458,6773,0,0.0013841043307086613,0.20970718503937008,,,
false_positive_rio_01_rio_r07_y00256_x00256_h256_w256.png,false_positive,rio,1,rio_r07_y00256_x00256_h256_w256,256,256,0.1980629539951574,0.977299880525687,0.32937386752566944,0.19715594119064836,3312,19,0.05075803517283202,0.2504548211036992,,,
false_positive_rio_02_rio_r07_y00256_x00000_h256_w256.png,false_positive,rio,2,rio_r07_y00256_x00000_h256_w256,256,0,0.626078971533517,0.9203563714902808,0.7452180566182096,0.5939024390243902,2036,295,0.14916237113402062,0.21927351804123713,,,
false_negative_dubai_01_dubai_r02_y00000_x00256_h256_w256.png,false_negative,dubai,1,dubai_r02_y00000_x00256_h256_w256,0,256,0.6742791234140715,0.21898411747078214,0.33060001131029804,0.19803523035230353,1412,10425,0.20367431640625,0.0661468505859375,,,
false_negative_dubai_02_dubai_r02_y00000_x00000_h256_w256.png,false_negative,dubai,2,dubai_r02_y00000_x00000_h256_w256,0,0,0.7453271028037384,0.2893986521513738,0.4169156086631815,0.26335652789244013,763,5483,0.11773681640625,0.04571533203125,,,
false_negative_chongqing_01_chongqing_r01_y00000_x00256_h256_w256.png,false_negative,chongqing,1,chongqing_r01_y00000_x00256_h256_w256,0,256,0.8707940780619112,0.32582147803097067,0.47420980302336235,0.31079620511588807,384,5355,0.1212005615234375,0.04534912109375,,,
false_negative_chongqing_02_chongqing_r01_y00256_x00256_h256_w256.png,false_negative,chongqing,2,chongqing_r01_y00256_x00256_h256_w256,256,256,0.8201074928865002,0.37243359655419955,0.5122432859399684,0.3443058136448102,569,4371,0.1062774658203125,0.0482635498046875,,,
false_negative_lasvegas_01_lasvegas_r03_y00256_x00256_h256_w256.png,false_negative,lasvegas,1,lasvegas_r03_y00256_x00256_h256_w256,256,256,0.7597274520351444,0.5605238788199497,0.6450974421437271,0.4761209124620744,1340,3322,0.1153411865234375,0.0850982666015625,,,
false_negative_lasvegas_02_lasvegas_r03_y00512_x00256_h256_w256.png,false_negative,lasvegas,2,lasvegas_r03_y00512_x00256_h256_w256,512,256,0.8138344545188652,0.7569368879216539,0.7843551797040169,0.6452173913043479,1273,1787,0.1121826171875,0.104339599609375,,,
